ensembl_id,gene_symbol,ncbi_id
ENSG00000121410,A1BG,NCBI:1
ENSG00000156006,NAT2,NCBI:10
ENSG00000196839,ADA,NCBI:100
ENSG00000170558,CDH2,NCBI:1000
ENSG00000117020,AKT3,NCBI:10000
LOC6618288,Gm14964,NCBI:100008567
ENSG00000236362,GAGE12F,NCBI:100008586
ENSG00000274917,RNA5-8SN5,NCBI:100008587
Unknown,RNA18SN5,NCBI:100008588
Unknown,RNA28SN5,NCBI:100008589
ENSMUSG00000079681,Zglp1,NCBI:100009600
Unknown,TRY-GTA7-1,NCBI:100009601
Unknown,TRY-GTA5-4,NCBI:100009602
Unknown,TRA-AGC11-1,NCBI:100009603
Unknown,TRA-AGC8-1,NCBI:100009604
Unknown,TRF-GAA2-1,NCBI:100009605
Unknown,TRF-GAA1-4,NCBI:100009606
Unknown,TRH-GTG1-6,NCBI:100009607
ENSMUSG00000066372,Vmn2r65,NCBI:100009609
ENSG00000254417,LINC02584,NCBI:100009613
ENSMUSG00000094012,Gm10024,NCBI:100009614
ENSMUSG00000006169,F630206G17Rik,NCBI:100009664
ENSG00000236375,POU5F1P5,NCBI:100009667
ENSG00000242551,POU5F1P6,NCBI:100009668
ENSG00000248365,POU5F1P7,NCBI:100009669
Unknown,IRX4P1,NCBI:100009671
HanXRQr2_Chr03g0102771,MRT4,NCBI:100009675
ENSG00000256628,ZBTB11-AS1,NCBI:100009676
ENSG00000133997,MED6,NCBI:10001
ENSMUSG00000050810,Oog3,NCBI:100012
MGP_CAROLIEiJ_G0002760,Notumos,NCBI:100015211
ENSMUSG00000037295,Ldlrap1,NCBI:100017
ENSMUSG00000058006,Mdn1,NCBI:100019
ENSG00000278570,NR2E3,NCBI:10002
ENSG00000077616,NAALAD2,NCBI:10003
Unknown,VN2R2P,NCBI:100033391
ENSG00000234680,VN2R3P,NCBI:100033392
Unknown,VN2R6P,NCBI:100033395
Unknown,VN2R7P,NCBI:100033396
ENSG00000226348,VN2R10P,NCBI:100033398
Unknown,VN2R11P,NCBI:100033399
Unknown,VN2R12P,NCBI:100033400
Unknown,VN2R13P,NCBI:100033401
Unknown,VN2R14P,NCBI:100033402
Unknown,VN2R16P,NCBI:100033404
Unknown,VN2R18P,NCBI:100033406
ENSG00000235974,VN2R19P,NCBI:100033407
Unknown,VN2R20P,NCBI:100033408
ENSG00000234644,OTX2P1,NCBI:100033409
ENSG00000282757,DUXB,NCBI:100033411
ENSG00000207063,SNORD116-1,NCBI:100033413
ENSG00000207001,SNORD116-2,NCBI:100033414
ENSG00000207014,SNORD116-3,NCBI:100033415
ENSG00000275529,SNORD116-4,NCBI:100033416
ENSG00000207191,SNORD116-5,NCBI:100033417
ENSG00000207442,SNORD116-6,NCBI:100033418
ENSG00000207133,SNORD116-7,NCBI:100033419
ENSG00000207093,SNORD116-8,NCBI:100033420
ENSG00000206727,SNORD116-9,NCBI:100033421
ENSG00000200661,SNORD116-10,NCBI:100033422
ENSG00000206609,SNORD116-11,NCBI:100033423
ENSG00000207197,SNORD116-12,NCBI:100033424
ENSG00000207137,SNORD116-13,NCBI:100033425
ENSG00000206621,SNORD116-14,NCBI:100033426
ENSG00000207174,SNORD116-15,NCBI:100033427
ENSG00000207263,SNORD116-16,NCBI:100033428
ENSG00000206656,SNORD116-17,NCBI:100033429
ENSG00000206688,SNORD116-18,NCBI:100033430
ENSG00000278715,SNORD116-20,NCBI:100033431
ENSG00000277785,SNORD116-21,NCBI:100033432
ENSG00000275127,SNORD116-22,NCBI:100033433
ENSG00000207375,SNORD116-23,NCBI:100033434
ENSG00000207279,SNORD116-24,NCBI:100033435
ENSG00000252326,SNORD116-25,NCBI:100033436
ENSG00000199712,SNORD115-2,NCBI:100033437
ENSG00000251815,SNORD116-26,NCBI:100033438
ENSG00000251896,SNORD116-27,NCBI:100033439
ENSG00000200680,SNORD115-4,NCBI:100033441
ENSG00000200503,SNORD115-5,NCBI:100033442
ENSG00000200812,SNORD115-6,NCBI:100033443
ENSG00000278089,SNORD115-7,NCBI:100033444
ENSG00000200726,SNORD115-8,NCBI:100033445
ENSG00000199782,SNORD115-9,NCBI:100033446
ENSG00000201943,SNORD115-10,NCBI:100033447
ENSG00000200486,SNORD115-11,NCBI:100033448
ENSG00000199453,SNORD115-12,NCBI:100033449
ENSG00000273835,SNORD115-13,NCBI:100033450
ENSG00000199960,SNORD115-14,NCBI:100033451
ENSG00000201679,SNORD115-15,NCBI:100033453
ENSG00000200757,SNORD115-16,NCBI:100033454
ENSG00000201482,SNORD115-17,NCBI:100033455
ENSG00000200163,SNORD115-18,NCBI:100033456
ENSG00000199968,SNORD115-19,NCBI:100033458
ENSMUSG00000066677,Ifi208,NCBI:100033459
ENSG00000201969,SNORD115-20,NCBI:100033460
ENSG00000199833,SNORD115-21,NCBI:100033603
ENSG00000201326,SNORD115-22,NCBI:100033799
ENSG00000201331,SNORD115-23,NCBI:100033800
ENSG00000199489,SNORD115-25,NCBI:100033801
ENSG00000275524,SNORD115-26,NCBI:100033802
ENSG00000199704,SNORD115-29,NCBI:100033803
